source_rel	size_bytes	sha256	action
Animations.xfs	988	dd5fbf708f6e834fbbf33ad8f4e0cf30a617c7e63877da0ab4d2878fe4d7271b	copied_text
Classes.xfs	22269	d2f2b410a343759f5cddc92df7f782d483fa4e36ef2c0d031e883af2c988d8a7	copied_text
Controls.xfs	1090	4cb1eb21b18669a887802a0e33430fc5489c2b7afcd809a2d9e4dcdd89ae535a	copied_text
datasetup.xfs	377577	f94eca279d868a09c84b37bdc710a392de9f3d1d34c8dd57f7c97b2ab487d788	copied_text
Fonts.xfs	324668	0551aac5e47bb73a459026b63bdec9cbd909baab132ee159d8628968b07ecba6	copied_text
LevelsSV.xfs	11056847	da731c823878c0f042a949a9848211af49985cbe62d034785a740062205fd2e2	copied_text
Models.xfs	644672	82f9027713ff73b87968f4b9032a98df7f577342c7e0fbd4f90ab8e9c0c2b6f0	copied_text
ModelsSV.xfs	176083218	3d3630a35d4d27bd16eae071b937a271e3aaa78b55ed4ee636a317af8d785434	copied_text
NyxLauncher.exe	598016	ba5b8fb5717b3f7117443be030ebb8c80f1f9444c0c3c45e53861b671e6f7c33	unknown_meta_only
NyxLauncher.ini	720	e924c63268dd2612030745732633444e3e856d6a54fa844f7d2b7efe86cf3d42	copied_text
NyxLauncherEnc.xfs	217	4064fc9fed8cc23f22d14f5f0de0bc05ec9863acb0a39a55ba8ecefc4c000494	copied_text
option.exe	229376	394de2a2ca4cc4d2417f929ae3c37343c8dddf134c4c6068d98394bdb749ae55	unknown_meta_only
SamxSounds.xfs	5714922	cf1653c0298878bd9b90eb698933000d4f93928fd6d4a34098b484b88c744cac	copied_text
Scripts.xfs	86387	2b2bff90ed95c6fc7725f652152cba6318ce65d89cb114cc86bb0fa3318decab	copied_text
Shaders.xfs	8047	d828eef9f433749f938aed4df18a01157b6d40777576c80a00637cd6d1218140	copied_text
Sounds.xfs	22413014	b3184eb669ccb36dbe15d4312ba03b5d6564b5a4616cdda4de8ce284eb450b62	copied_text
SoundsSV.xfs	20690944	37b5d4b9f74aa7d4215c60e54eb8b87e4cb225e2f2f2ffb6c84387e57de84de7	copied_text
Textures.xfs	474790	52a2a0d03e03b0f2c0299eda66f03149f2a6c4c19371423df5dff3cd08b48933	copied_text
TexturesSV.xfs	108199628	3e417f238c560afac1ad3f1b670137cb062f098d990a423d88a160a5e370462f	copied_text
Thumbnails.xfs	1319445	349722ae6517a25dfa81f2f918a7f344d3beaf394c461ee4395d8a1be9560ad6	copied_text
unins000.dat	1196323	a6d933a94dd7dac794d2904584839ed2615e74216fec77bdcf32d4bda3260bca	copied_text
unins000.exe	717985	ef4984322c6a5c0f5a2fb2e1e73a34b00a19448b5688be5081fb956a31f7b131	unknown_meta_only
VirtualTrees.xfs	11948	16aa8eb5c23a270462496109bddbc918d0c7bfa067a9d8d30d757b53039731b7	copied_text
Bin\amp11lib.dll	86078	3e1358ee97c01d332d85daded1fb9f23627a57954521302cf64d72a1afd2ab58	unknown_meta_only
Bin\Buddy2.dll	180224	7d55e4b7c58b0b35a6b2ee6dfeefe981830696390856d2e82ac83ff24fd2e359	unknown_meta_only
Bin\BugTrap.dll	260608	be56494fefcd27a4cfa9caa668f8ffe6e6bbd92c9ddb83eabf5b0e14b12a8875	unknown_meta_only
Bin\config.xfs	156	c0519c8a97fb63b57d6d7040df9533520695ece80a1a912a3855fb88684e573f	copied_text
Bin\CW3230MT.DLL	319488	9e0b1eb3c6deb47f29fdcf591355166f34bcbefbe15700f9cc822ced67b2a8ec	unknown_meta_only
Bin\dbghelp.dll	1030144	f089f6b1aa2a324603728c0453568201cb0ab6b8d3e8d6dcc2b000ad5cdfaba4	unknown_meta_only
Bin\engine.dll	2918912	83b20d6c32cd66b95c8f8e41ad6de13a58e8f5f948cd21cbd118d42ef8cf88f2	unknown_meta_only
Bin\enginegui.dll	98304	b671104ec772556dfd094154c2e7b555e5f2456d66fc7365ac0c11597fba3ef7	unknown_meta_only
Bin\entitiesmp.dll	4024832	704a57556a56eef94237af892c07769d4d9de703b7b4ab4a7af9c045a03a316e	unknown_meta_only
Bin\eview3d.dll	436224	d7aa14e285f27f00593cb0828d2e11298183b373958b11ab8b590ad3c35b2472	unknown_meta_only
Bin\gameguard.des	274113	a5adacdb70d50e137c6d5f064639ae2daea4d078a9a7221fa4dcaafc5af91c4c	copied_text
Bin\gameguimp.dll	45056	579c247f875682aeb35c64cb6d318263e803de0f0b72c6d7d9b7de5967770340	unknown_meta_only
Bin\gamemp.dll	249856	02bdfea9a743979bc537dd1e6defc9528256ebc771664668a71f8ada5c4a0008	unknown_meta_only
Bin\IFC22.dll	192512	c2297c8888d4ff1d9a4048c7a1a29fe5f61fdc4ead0255aef367772a9c3f5b9d	unknown_meta_only
Bin\immwrapper.dll	5120	34e754424eb98073b37dc1362a9d680c18989c97d3b9634d83d0e3736a501f7d	unknown_meta_only
Bin\keyhook.dll	4096	8ff420350324ee5d0ae049e86efe12195f71176b35b1e3893894f439469d85cd	unknown_meta_only
Bin\load.bin	26482	4891ba1b901fa508a6cfab4693a706c1129e0a33245f9423282d1c64b299a0d6	unknown_meta_only
Bin\mfc42.dll	995383	52e1eb5eb51f0b08fe08a6ab97f522247161a816a8296b7bba87d2865f3985fd	unknown_meta_only
Bin\msvcp60.dll	413696	0a88f818a57006d9907675d9ed801dc758b095af0b5542238fe84de63a1d7f4e	unknown_meta_only
Bin\msvcp71.dll	499712	df96156f6a548fd6fe5672918de5ae4509d3c810a57bffd2a91de45a3ed5b23b	unknown_meta_only
Bin\msvcr71.dll	348160	8094af5ee310714caebccaeee7769ffb08048503ba478b879edfef5f1a24fefe	unknown_meta_only
Bin\MSVCRT.DLL	290869	dadad35bf69ede748178e83a9e66f8d5d371ef9b686d65ca969cd4d1b3cc5c93	unknown_meta_only
Bin\ogg.dll	24576	58ef796f7a5bee783aa9e290ffcde7d1b33500d64c55e33b3b32577614be81ca	unknown_meta_only
Bin\PMReaderLib.dll	16384	52ac02f1f8739c9a7bb04bd8ddaa52ef20edfc38d8874a6accf413d2ba6aae0b	unknown_meta_only
